t,Re_c,Im_c,abs_c,rho2,V_mem_x0
0.000000,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.737439579767e-01,0.000000000000e+00
0.010000,9.999766647470e-01,-5.252460664967e-04,9.999768026919e-01,4.737330496968e-01,8.603783602480e-02
0.020000,9.999096771780e-01,-2.493718666269e-03,9.999127867704e-01,4.738047615722e-01,1.635574253988e-01
0.030000,9.997981161039e-01,-5.761920727379e-03,9.998147191832e-01,4.739311051008e-01,2.333692136118e-01
0.040000,9.996355627114e-01,-1.020085199729e-02,9.996876090154e-01,4.740965495799e-01,2.962099931726e-01
0.050000,9.994118693399e-01,-1.569446651257e-02,9.995350923588e-01,4.742869008270e-01,3.527499013552e-01
0.060000,9.991144992387e-01,-2.213827495916e-02,9.993597379358e-01,4.744891268202e-01,4.035987023432e-01
0.070000,9.987295316886e-01,-2.943808891307e-02,9.991632892304e-01,4.746912161984e-01,4.493114224646e-01
0.080000,9.982424070825e-01,-3.750889894027e-02,9.989468558424e-01,4.748820648839e-01,4.903934039956e-01
0.090000,9.976384707832e-01,-4.627387598581e-02,9.987110643151e-01,4.750513868346e-01,5.273048390077e-01
0.100000,9.969033620395e-01,-5.566348449801e-02,9.984561766808e-01,4.751896454503e-01,5.604648399043e-01
0.110000,9.960232843020e-01,-6.561469571093e-02,9.981821833538e-01,4.752880025019e-01,5.902550978550e-01
0.120000,9.949851854156e-01,-7.607029004691e-02,9.978888756893e-01,4.753382816763e-01,6.170231746531e-01
0.130000,9.937768699431e-01,-8.697823843936e-02,9.975759024736e-01,4.753329439763e-01,6.410854679762e-01
0.140000,9.923870609608e-01,-9.829115334488e-02,9.972428137562e-01,4.752650723372e-01,6.627298849740e-01
0.150000,9.908054247892e-01,-1.099658012108e-01,9.968890947481e-01,4.751283629457e-01,6.822182547472e-01
0.160000,9.890225690579e-01,-1.219626691240e-01,9.965141919540e-01,4.749171209154e-01,6.997885067117e-01
0.170000,9.870300220926e-01,-1.342455792587e-01,9.961175332573e-01,4.746262581856e-01,7.156566390163e-01
0.180000,9.848201997118e-01,-1.467813455414e-01,9.956985433148e-01,4.742512917812e-01,7.300184989727e-01
0.190000,9.823863640268e-01,-1.595394676673e-01,9.952566553253e-01,4.737883408894e-01,7.430513956900e-01
0.200000,9.797225776707e-01,-1.724918582186e-01,9.947913200011e-01,4.732341215531e-01,7.549155635989e-01
0.210000,9.768236559677e-01,-1.856125991773e-01,9.943020123843e-01,4.725859381392e-01,7.657554941648e-01
0.220000,9.736851188453e-01,-1.988777245848e-01,9.937882369986e-01,4.718416710800e-01,7.757011517155e-01
0.230000,9.703031437480e-01,-2.122650264988e-01,9.932495317098e-01,4.709997607017e-01,7.848690878874e-01
0.240000,9.666745203918e-01,-2.257538817350e-01,9.926854705762e-01,4.700591872198e-01,7.933634677220e-01
0.250000,9.627966078856e-01,-2.393250971731e-01,9.920956658977e-01,4.690194471955e-01,8.012770189223e-01
0.260000,9.586672945121e-01,-2.529607716566e-01,9.914797696193e-01,4.678805269041e-01,8.086919142539e-01
0.270000,9.542849602904e-01,-2.666441727308e-01,9.908374742044e-01,4.666428731696e-01,8.156805955834e-01
0.280000,9.496484423203e-01,-2.803596266531e-01,9.901685130615e-01,4.653073622697e-01,8.223065466276e-01
0.290000,9.447570028286e-01,-2.940924202720e-01,9.894726605900e-01,4.638752675249e-01,8.286250201825e-01
0.300000,9.396102997800e-01,-3.078287135187e-01,9.887497318934e-01,4.623482261639e-01,8.346837244291e-01
0.310000,9.342083598858e-01,-3.215554613819e-01,9.879995821989e-01,4.607282060035e-01,8.405234718940e-01
0.320000,9.285515538271e-01,-3.352603443527e-01,9.872221060178e-01,4.590174724210e-01,8.461787937862e-01
0.330000,9.226405735016e-01,-3.489317064302e-01,9.864172360739e-01,4.572185560197e-01,8.516785217231e-01
0.340000,9.164764111119e-01,-3.625584998689e-01,9.855849420277e-01,4.553342213136e-01,8.570463383062e-01
0.350000,9.100603399138e-01,-3.761302359355e-01,9.847252290202e-01,4.533674366827e-01,8.623012975873e-01
0.360000,9.033938964623e-01,-3.896369410178e-01,9.838381360626e-01,4.513213457819e-01,8.674583161614e-01
0.370000,8.964788642012e-01,-4.030691174952e-01,9.829237342937e-01,4.491992405242e-01,8.725286354266e-01
0.380000,8.893172582579e-01,-4.164177088443e-01,9.819821251299e-01,4.470045357096e-01,8.775202554361e-01
0.390000,8.819113113193e-01,-4.296740685089e-01,9.810134383290e-01,4.447407453248e-01,8.824383407211e-01
0.400000,8.742634604774e-01,-4.428299321120e-01,9.800178299910e-01,4.424114605077e-01,8.872855984700e-01
0.410000,8.663763349459e-01,-4.558773926355e-01,9.789954805158e-01,4.400203291428e-01,8.920626294947e-01
0.420000,8.582527445613e-01,-4.688088782331e-01,9.779465925383e-01,4.375710370359e-01,8.967682524870e-01
0.430000,8.498956689913e-01,-4.816171323766e-01,9.768713888577e-01,4.350672906033e-01,9.013998021559e-01
0.440000,8.413082475830e-01,-4.942951960732e-01,9.757701103807e-01,4.325128010044e-01,9.059534019334e-01
0.450000,8.324937697940e-01,-5.068363919149e-01,9.746430140903e-01,4.299112696399e-01,9.104242120353e-01
0.460000,8.234556661515e-01,-5.192343097531e-01,9.734903710576e-01,4.272663749421e-01,9.148066537546e-01
0.470000,8.141974996983e-01,-5.314827938107e-01,9.723124645050e-01,4.245817603798e-01,9.190946109551e-01
0.480000,8.047229578831e-01,-5.435759310667e-01,9.711095879349e-01,4.218610236076e-01,9.232816098040e-01
0.490000,7.950358448620e-01,-5.555080407675e-01,9.698820433294e-01,4.191077066905e-01,9.273609778494e-01
0.500000,7.851400741815e-01,-5.672736649339e-01,9.686301394305e-01,4.163252873407e-01,9.313259835947e-01
0.510000,7.750396618151e-01,-5.788675597493e-01,9.673541901065e-01,4.135171711058e-01,9.351699577611e-01
0.520000,7.647387195315e-01,-5.902846877270e-01,9.660545128074e-01,4.106866844545e-01,9.388863974489e-01
